Family ID,Created at,Survey number,Worker,Gender,Country of birth,People in household,Race,Hispanic,Housing situation,Rent vs. Own,Child mortality,Disability,Automobile,Veteran Status,LGBTQ,Early Childhood Education,Number of People in Household with GED or HS Diploma,Highest level,Highest level in household,Annual income,Primary economic activity:,Assistance:
18960,2021-11-16,1º,ialba,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Less than High School,Less than High School,,Employed Full-Time,Food stamps
18960,2022-05-09,2º,vbryant,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,19287,Employed Full-Time,"Food stamps,WIC"
36175,2022-10-07,1º,kmacedo,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Four-Year College Degree,Four-Year College Degree,0,Retired,Disability
15335,2021-10-06,1º,avanegasvelasquez,Female,United States of America,5,White,Yes,Single Family House,Own my home,Yes,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,WIC
15335,2022-05-05,2º,avanegasvelasquez,Female,United States of America,5,,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,WIC
19457,2022-12-08,1º,yliaogomez,Female,United States of America,3,Other,No,Apartment/Condominium,Rent my home,No,No,No,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Part-Time,WIC
19457,2023-06-13,2º,yliaogomez,Female,United States of America,3,,,,,,,,,,,,,,,,
171938,2022-10-13,1º,alopez,Female,United States of America,5,White,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,35000,Employed Full-Time,WIC
36703,2022-12-02,1º,mespino,Female,United States of America,3,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,6,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,Other"
36703,2023-03-28,2º,mespino,Female,United States of America,3,White,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,20000,Employed Full-Time,Food stamps
32134,2022-10-11,1º,avanegasvelasquez,Female,United States of America,3,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,25000,Employed Full-Time,None
32134,2021-11-10,1º,kmacedo,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,I don’t know,1,High School/GED,High School/GED,30000,Employed Full-Time,None
32134,2022-05-23,2º,avanegasvelasquez,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Live with parents,No,Yes,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Other
36877,2022-12-09,1º,mespino,Female,United States of America,2,White,Yes,Prefer not to say,Prefer not to say,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,Other
36877,2023-04-03,2º,mespino,Female,United States of America,2,,,,,,,,,,,,,,,,
167288,2022-03-09,1º,swilliamson,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Graduate Degree,Four-Year College Degree,15000,Employed Part-Time,"Food stamps,WIC"
167288,2022-05-05,2º,swilliamson,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,No,1,Four-Year College Degree,Four-Year College Degree,20000,Employed Part-Time,"Food stamps,WIC"
31079,2021-10-12,1º,mmarquez1,Female,El Salvador,3,Other,Yes,Casa,Own my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,Employed Full-Time,WIC
31079,2022-05-04,2º,mmarquez1,Female,El Salvador,3,,Yes,Prefer not to say,Own my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,Employed Full-Time,"WIC,Other"
151404,2023-05-03,1º,tmcduffie,Female,United States of America,6,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,No,0,Less than High School,Less than High School,40000,Employed Part-Time,Food stamps
123456,2022-11-30,1º,yliaogomez,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,WIC"
170698,2023-04-03,1º,mmassey,Female,United States of America,4,,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,,
21946,2022-09-29,1º,mespino,Female,El Salvador,5,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Employed Full-Time,Food stamps
21946,2023-04-18,2º,mespino,Female,El Salvador,5,Other,No,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,Other,
34908,2022-10-04,1º,kmacedo,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Live with another family,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,0,Unemployed,Food stamps
19029,2022-12-19,1º,jdeleon,Female,United States of America,7,,No,Single Family House,Own my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,25000,Employed Full-Time,Food stamps
19029,2023-04-24,2º,yliaogomez,Female,United States of America,7,Black or African American,,,,,,,,,,,,,,,
23812,2022-05-11,1º,njaen,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Less than High School,Less than High School,25966,Other,Food stamps
23812,2021-11-10,1º,ialba,Female,El Salvador,4,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Stay-at-Home Caregiver",Food stamps
23812,2022-12-09,2º,kmacedo,Female,United States of America,5,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,18550,"Employed Full-Time,Unemployed","Food stamps,WIC"
23812,2023-03-30,3º,kmacedo,Female,United States of America,5,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Unemployed","WIC,Food stamps"
35506,2022-11-29,1º,mespino,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC,Other"
35506,2023-04-05,2º,mespino,Female,United States of America,4,Black or African American,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,,,,,,,Food stamps
15743,2021-12-17,1º,vbryant,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,No,No,No,Yes,1,High School/GED,High School/GED,7403,Employed Full-Time,"Food stamps,Other"
15743,2022-05-03,2º,vbryant,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,7403,Employed Part-Time,"Food stamps,WIC"
3541,2021-11-09,1º,mespino,Female,United States of America,5,White,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Not applicable,2,High School/GED,High School/GED,,"Unemployed,Employed Full-Time","Food stamps,WIC,Other"
3541,2022-05-06,2º,mespino,Female,United States of America,5,,,,,,,,,,,,,,,,
33788,2021-12-09,1º,mespino,Female,United States of America,3,White,No,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,Not applicable,1,High School/GED,High School/GED,,Employed Full-Time,"Food stamps,WIC"
33788,2022-05-06,2º,mespino,Female,United States of America,3,White,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,"Food stamps,WIC"
19786,2022-12-08,1º,jdeleon,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,None
19786,2023-04-24,2º,yliaogomez,Female,United States of America,2,Black or African American,No,Apartment/Condominium,,No,No,Yes,No,Yes,Yes,1,High School/GED,High School/GED,,Employed Part-Time,Food stamps
37002,2023-01-26,1º,mespino,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,Other"
37002,2023-04-06,2º,mespino,Female,United States of America,3,White,No,,,,,,,,,,,,,Employed Full-Time,Food stamps
34973,2021-11-11,1º,vbryant,Female,United States of America,2,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,12762,Unemployed,Food stamps
34973,2022-05-04,2º,njaen,Female,United States of America,2,Black or African American,No,Single Family House,Rent my home,No,No,Yes,,No,Yes,1,High School/GED,High School/GED,12762,Other,Food stamps
33572,2022-10-12,1º,dgomezserrano,Female,United States of America,1,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Stay-at-Home Caregiver,WIC
19771,2022-11-21,1º,kmacedo,Female,United States of America,6,Black or African American,No,Single Family House,Live with parents,No,No,No,No,No,No,1,High School/GED,High School/GED,,Employed Part-Time,None
19771,2023-05-10,2º,kmacedo,Female,United States of America,6,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,,Less than High School,Less than High School,,Unemployed,Food stamps
161701,2022-11-29,1º,yliaogomez,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,3,High School/GED,High School/GED,,Employed Full-Time,Food stamps
161701,2023-04-25,2º,yliaogomez,Female,United States of America,5,,,,,,,,,,,,,,,,
32393,2022-12-08,1º,njaen,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,16989,Employed Full-Time,"Food stamps,WIC"
165456,2021-11-10,1º,njaen,Female,United States of America,7,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,10023,Employed Part-Time,WIC
165456,2022-05-03,2º,njaen,Female,United States of America,7,Other,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Food stamps
66527,2022-12-08,1º,yliaogomez,Female,United States of America,7,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Employed Part-Time,Food stamps
66527,2023-06-29,2º,yliaogomez,Female,United States of America,7,,,,,,,,,,,,,,,,
36729,2022-11-15,1º,jdeleon,Female,United States of America,4,Other,Yes,Trailer/Mobile Home,Rent to Own,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Part-Time,"Food stamps,WIC,Other"
36729,2023-04-24,2º,yliaogomez,Female,United States of America,4,,,,,,,,,,,,,,,,
36415,2022-10-12,1º,dgomezserrano,Female,United States of America,1,White,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,Prefer not to say,No,0,Less than High School,Less than High School,,Employed Full-Time,WIC
166933,2022-11-28,1º,yliaogomez,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Part-Time,Food stamps
32857,2023-01-05,1º,kmacedo,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,Prefer not to say,Yes,1,Two-Year College Degree,Two-Year College Degree,0,Employed Full-Time,Food stamps
17914,2021-11-15,1º,mespino,Female,United States of America,6,White,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,40000,"Stay-at-Home Caregiver,Employed Full-Time","Food stamps,WIC"
17914,2022-05-06,2º,mespino,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,,,,,,In School,
