Family ID,Created at,Survey number,Priority date,Indicator,Level,Why don't you have it,What will you do to get it,How long will it take to achieve it,Estimated date
36703,2022-12-02,1º,2022-12-02,Savings,1,don't have it yet,start getting information,12,2023-12-02
15743,2021-12-17,1º,2021-12-17,Savings,2,I don't make enough money on my job.,try to work extra hours.,12,2022-12-17
15743,2021-12-17,1º,2021-12-17,Transportation,2,I have to save some money,I will start saving 25.00 dollars a week,12,2022-12-17
15743,2022-05-03,2º,2022-05-03,Savings,2,I spend over my budget,Start following my budget,12,2023-05-03
15743,2022-05-03,2º,2022-05-03,Budget,2,I had never taken time to sit down and put a budget together.,I have started writing down my bills and money coming in the house for comparison.,12,2023-05-03
36971,2022-11-18,1º,2022-11-18,Debt,1,My health sometimes prevent me from working,Continue to push through and work,1,2022-12-18
36971,2022-11-18,1º,2022-11-18,Budget,1,Everything goes to bills,Work more and manage money better,1,2022-12-18
36971,2022-11-18,1º,2022-11-18,Civic Engagement,1,Not interested ,Not interested ,1,2022-12-18
34973,2021-11-11,1º,2021-11-11,Savings,1,Because I lost my job due to COVID,I am expecting to interview for a new job,6,2022-05-11
34973,2021-11-11,1º,2021-11-11,Debt,2,My income decreased because I lost my job due to COVID,I am currently interviewing for a new job,6,2022-05-11
34973,2021-11-11,1º,2021-11-11,Budget,2,looking a job,once I start a new job I will make a budget and try to follow it.,6,2022-05-11
35570,2022-11-29,1º,2022-11-29,Credit,2,I applied for a mortgage ,Not apply to anything ,3,2023-02-28
35570,2022-11-29,1º,2022-11-29,Nutritious diet,2,Just have not been able to adjust to a healthy diet routine.,Try to create a diet plan,4,2023-03-29
35570,2022-11-29,1º,2022-11-29,Healthy vision,2,Paisley needs another eye doctor,Call and make an appointment ,1,2022-12-29
151404,2023-05-03,1º,2023-05-03,Savings,2,Bills,,12,2024-05-03
151404,2023-05-03,1º,2023-05-03,Credit,2,Want to build it,,12,2024-05-03
151404,2023-05-03,1º,2023-05-03,Budget,2,Have no idea,,3,2023-08-03
36175,2022-10-07,1º,2022-10-07,Credit,1,I have bad credit ,Open credit to build credit,8,2023-06-07
36175,2022-10-07,1º,2022-10-07,Civic Engagement,1,Not interested ,Try to get more involved in my community,6,2023-04-07
36175,2022-10-07,1º,2022-10-07,Resolve problems,1,I dont like. Eing around people ,Try to find techniques that will help,6,2023-04-07
13927,2022-11-10,1º,2022-11-10,Credit,2,Because I didn't have no one to guide her,Found someone to help repair it,5,2023-04-10
19771,2022-11-21,1º,2022-11-21,Credit,2,Working on it,Continue to work ,5,2023-04-21
19771,2022-11-21,1º,2022-11-21,Debt,2,Working on it ,Continue with ,5,2023-04-21
15335,2022-05-05,2º,2022-11-07,Employability Readiness,2,No experience,refer to PTS Career Coach ,6,2023-05-07
15335,2022-05-05,2º,2022-05-05,Generate income,2,,Apply in Workforce to get aid,9,2023-02-05
33761,2021-11-11,1º,2021-11-11,Income,2,I just had leg surgery for now until then we have enough,I will start working on my follow up for my leg on my Dr appts ,6,2022-05-11
33761,2021-11-11,1º,2021-11-11,Credit,2,I haven't apply for credit to build it up,I have a plan in place to start applying on credits,7,2022-06-11
35506,2022-11-29,1º,2022-11-29,Civic Engagement,1,Dont have information ,Obtained informacion ,1,2022-12-29
165456,2021-11-10,1º,2021-11-10,Credit,2,haven't taken the time to get this improve  ,put some stuff on credit and built it up to improve it ,6,2022-05-10
165456,2021-11-10,1º,2021-11-10,Nutritious diet,2,always on the move to get things done,get Nutrition meals for us  ,3,2022-02-10
19029,2022-12-19,1º,2022-12-19,Nutritious diet,2,Eat out often due to schedule,start preparing meals more often in home,4,2023-04-19
19029,2022-12-19,1º,2022-12-19,Entertainment,2,Children's schedule differ,Make more activities together as a family,2,2023-02-19
19029,2023-04-24,2º,2023-04-24,Income,2,Everything is high now days ,Trying to get more hours ,3,2023-07-24
19029,2023-04-24,2º,2023-04-24,Credit,2,I haven’t check it lately ,,2,2023-06-24
36877,2023-04-03,2º,2023-04-03,Debt,2,,,12,2024-04-03
32393,2022-12-08,1º,2022-12-08,Income,2,I AM NOT MAKING ENOUGH MONEY ON MY JOB,I HAVE BEEN WORKING EXTRA HOURS,12,2023-12-08
32393,2022-12-08,1º,2022-12-08,Savings,1,I AM BARLEY MAKING ENOUGH MONEY TO MEET MY MONTHLY BILLS,I HAVE BEEN WORKING EXTRA HOURS AND I HAVE ASK FOR A RAISE,12,2023-12-08
167288,2022-03-09,1º,2022-03-14,Income,2,I work a part time job.,I will seek full time employment. ,3,2022-06-14
167288,2022-03-09,1º,2022-03-14,Debt,2,I work part time.,I will seek full time employment.,3,2022-06-14
32857,2023-01-05,1º,2023-01-05,Credit,2,Student loans,Pay back,24,2025-01-05
32857,2023-01-05,1º,2023-01-05,Budget,2,Spending habit,Cut back on spending,6,2023-07-05
32857,2023-01-05,1º,2023-01-05,Community,2,Small town,Become more active,3,2023-04-05
36729,2022-11-15,1º,2022-11-15,Nutritious diet,2,Because of time or convenience ,go out to eat less,3,2023-02-15
3541,2021-11-09,1º,2021-11-09,Savings,1,Not a plan,Making a plan,12,2022-11-09
35254,2021-11-10,1º,2021-11-10,Credit,1,Havent started building it yet.,Apply for credit opportunities...card,6,2022-05-10
35254,2021-11-10,1º,2021-11-10,Stable Income,2,"Its hard to get  gainful employment without at least having a high schoo, diploma.",Obtain GED.,8,2022-07-10
35254,2021-11-10,1º,2021-11-10,Mental health services,2,Too expensive.,Try to look for affordable ways to receive services.,8,2022-07-10
30970,2021-11-11,1º,2021-11-11,Credit,2,applying on credit by paying on time payments  ,pay off credits on time to build credits ,12,2022-11-11
30970,2021-11-11,1º,2021-11-11,Nutritious diet,2,I have not been planning nutrition's foods ,Plan on eating healthy foods for the family ,6,2022-05-11
30970,2023-02-13,3º,2023-02-13,Credit,2,Have to improve my credit ,,6,2023-08-13
30970,2023-02-13,3º,2023-02-13,Nutritious diet,2,Have been very busy scheduled,,6,2023-08-13
12776,2022-02-09,1º,2022-02-09,Budget,2,Because I have never taken the time to write one out and try it for 6 months.,I will sit down and write out what I spend out each month and compare it to what I take in.,6,2022-08-09
36450,2022-11-29,1º,2022-11-29,Budget,2,Not good with money,Attend Financial sessions,12,2023-11-29
35384,2021-10-14,1º,2021-10-14,Credit,2,,,6,2022-04-14
35384,2022-10-28,3º,2022-10-28,Income,2,Trying to get more hours at my job ,Ask for more hours during the week.,6,2023-04-28
35384,2022-10-28,3º,2022-10-28,Credit,2,I don't pay on time. ,Create autopayments to come out.,6,2023-04-28
35384,2022-10-28,3º,2022-10-28,Budget,2,Because I don't get paid enough to put to the side.,Create a budget I can follow. ,6,2023-04-28
25586,2023-01-11,1º,2023-01-11,Nutritious diet,2,,,3,2023-04-11
25586,2023-01-11,1º,2023-01-11,Literacy,1,,,3,2023-04-11
25019,2021-11-03,1º,2021-11-18,Budget,1,Just never did it.,Set a budget.,6,2022-05-18
35300,2022-05-13,2º,2022-05-13,Income,2,I was only working part time.,I have started working full time .,6,2022-11-13
35300,2022-05-13,2º,2022-05-13,Savings,2,I just started working full time,I will start saving $20 dollars a week.,12,2023-05-13
20225,2022-11-29,1º,2022-11-29,Emotional Well-Being,2,I dont have good health,Get medi al attention and support ,24,2024-11-29
25025,2022-12-02,1º,2022-12-02,Civic Engagement,2,Not really into polotic,Get informed ,4,2023-04-02
25025,2023-03-28,2º,2023-03-28,Debt,2,,,12,2024-03-28
25025,2023-03-28,2º,2023-03-28,Stable Income,2,,,6,2023-09-28
26714,2022-05-05,2º,2022-05-05,Income,1,I am not working,I am interested in finding something to do,12,2023-05-05
26714,2022-05-05,2º,2022-05-05,Employability Readiness,1,I never graduated High school,I will work on my GED,12,2023-05-05
26714,2022-05-05,2º,2022-05-05,Phone,1,Sometimes I have let my phone turn off because of money,I think about getting a job,12,2023-05-05
26714,2022-11-09,3º,2022-11-14,Stable Income,1,,,12,2023-11-14
36264,2022-11-13,1º,2022-11-14,Generate income,2,I am working towards Teaching License.,I will attend classed needed,12,2023-11-14
36264,2022-11-13,1º,2022-11-14,Community,1,I work full time and am a mother,I will think about attending community meetings,12,2023-11-14
36346,2022-11-18,1º,2022-11-18,Income,2,Job doesn't offer more,Better job ,6,2023-05-18
36346,2022-11-18,1º,2022-11-18,Environment,2,My job requires me to clean up a dirty location ,Save up until a better job,12,2023-11-18
36346,2022-11-18,1º,2022-11-18,Garbage,1,My home is not apart of the city so i have to dump it my self,Extra money,5,2023-04-18
65667,2022-06-01,1º,2022-06-03,Savings,1,Don't have a job.,Try to find a part time job. ,5,2022-11-03
65667,2022-06-01,1º,2022-06-03,Physical Activity,2,Just have not had a lot of focus on this matter,Try to spend more time playing outdoor with my children. ,3,2022-09-03
65667,2022-06-01,1º,2022-06-03,Community,1,Don't like to be out in public a lot.,Try to go out more and participate ,5,2022-11-03
65667,2022-10-18,2º,2022-10-18,Savings,1,Cost of living and everything going up,Getting a raise (soon) making better choices ,2,2022-12-18
65667,2022-10-18,2º,2022-10-18,Debt,1,Bad choices ,Stop spending,3,2023-01-18
65667,2022-10-18,2º,2022-10-18,Stable Housing,1,Seperation,Looking for something to come open,6,2023-04-18
34696,2023-01-12,1º,2023-01-12,Credit,2,,,9,2023-10-12
34696,2023-01-12,1º,2023-01-12,Budget,2,,,6,2023-07-12
147772,2021-11-11,1º,2021-11-11,Credit,2,I am building up credit ,pay off some bills for my credit ,7,2022-06-11
147772,2021-11-11,1º,2021-11-11,Nutritious diet,2,"we aren't always nutritious, we eat out once a while   ",plan a healthy nutritious meals during the week ,6,2022-05-11
28110,2022-01-21,1º,2022-01-21,Savings,2,I am a single parent and the pandemic has broke my savings account,start saving 20 dollars week in a savings account,12,2023-01-21
28110,2022-05-06,2º,2022-05-06,Savings,2,I am the only person in my house working to take care of everything.,Work some over time to make sure my children have what they need.,12,2023-05-06
28110,2022-12-08,3º,2022-12-08,Savings,2,I MAKE ENOUGH TO PAY MY BILLS BUT DONOT ALWAYS HAVE EXTRA,WORK MORE HOURS ,12,2023-12-08
30246,2022-05-05,2º,2022-05-05,Income,2,Job ,work more hours if allowed ,6,2022-11-05
34021,2021-11-04,1º,2021-11-04,Income,2,Currently not working. ,I plan to recieve SSI in the future.,3,2022-02-04
34021,2021-11-04,1º,2021-11-04,Savings,2,I have a savings but not much.,I will save more often.,3,2022-02-04
34021,2021-11-04,1º,2021-11-04,Stable Income,2,I currently don't work.,I will start workig soon.,3,2022-02-04
34923,2021-11-09,1º,2021-11-09,Budget,2,Something always come up,Plan ,6,2022-05-09
34923,2022-12-09,3º,2022-12-09,Clothing,2,Not enough clothing ,Find resources for clothing,12,2023-12-09
35407,2022-12-02,1º,2022-12-02,Savings,1,Because i dont know how to save,Try to get budget ,12,2023-12-02
30758,2021-11-05,1º,2021-11-05,Income,2,Little hours ,Find a good paying and get back in school to get my GED so I can get more in life .,4,2022-03-05
30758,2021-11-05,1º,2021-11-05,Debt,1,Much money ,Better job ,2,2022-01-05
30758,2021-11-05,1º,2021-11-05,Civic Engagement,1,Wasnt into that much ,Vote more and do more stuff,1,2021-12-05
30758,2022-11-16,3º,2022-11-16,Income,2,"I'm currently pregnant, so I'm not employed at this time.",Seek a job after my child is born and 3 months old.,6,2023-05-16
30758,2022-11-16,3º,2022-11-16,Savings,2,"Currently unemployed, I do receive SSI ",Try to manage my money better.,6,2023-05-16
30758,2022-11-16,3º,2022-11-16,Credit,2,I have not been able to pay my bills on time since I'm a single parent. ,Try to set up autopayments on my bills.,6,2023-05-16
